Code,CDISC_Submission_Value,Codelist_Name,Codelist_Extensible,Assigned_Category,Confidence,Note
C120978,CRQ01TN,Chronic Respiratory Questionnaire Self-Administered Standardized Format First Administration Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C120981,CRQ02TC,Chronic Respiratory Questionnaire Self-Administered Standardized Format Follow-Up Administration Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C120980,CRQ02TN,Chronic Respiratory Questionnaire Self-Administered Standardized Format Follow-Up Administration Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119066,CCQ02TC,Clinical COPD Questionnaire 1 Week Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119065,CCQ02TN,Clinical COPD Questionnaire 1 Week Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119064,CCQ01TC,Clinical COPD Questionnaire 24 Hour Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119063,CCQ01TN,Clinical COPD Questionnaire 24 Hour Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C101811,CDR01TC,Clinical Dementia Rating Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101812,CDR01TN,Clinical Dementia Rating Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C135686,CGI02TC,Clinical Global Impression Generic Modification Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C135685,CGI02TN,Clinical Global Impression Generic Modification Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C101813,COWS1TC,Clinical Opiate Withdrawal Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101814,COWS1TN,Clinical Opiate Withdrawal Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C213531,CLINSTRS,Clinical Status of Disease Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C187452,CAP01TC,Clinician-Administered PTSD Scale (Current) DSM-5 With DSM IV Scoring 2016 Version Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C187451,CAP01TN,Clinician-Administered PTSD Scale (Current) DSM-5 With DSM IV Scoring 2016 Version Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C177908,COLSTYP,Collected Summarized Value Type Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C106659,CSS05TC,Columbia-Suicide Severity Rating Scale Already Enrolled Subjects Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C106658,CSS05TN,Columbia-Suicide Severity Rating Scale Already Enrolled Subjects Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C100168,CSS01TC,Columbia-Suicide Severity Rating Scale Baseline Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100167,CSS01TN,Columbia-Suicide Severity Rating Scale Baseline Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C105132,CSS03TC,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Phase 1 Study Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C105131,CSS03TN,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Phase 1 Study Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C106661,CSS04TC,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C106660,CSS04TN,Columbia-Suicide Severity Rating Scale Baseline/Screening Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C111336,CSS06TC,Columbia-Suicide Severity Rating Scale Children's Baseline Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C111335,CSS06TN,Columbia-Suicide Severity Rating Scale Children's Baseline Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C111338,CSS07TC,Columbia-Suicide Severity Rating Scale Children's Baseline/Screening Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C111337,CSS07TN,Columbia-Suicide Severity Rating Scale Children's Baseline/Screening Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C111340,CSS08TC,Columbia-Suicide Severity Rating Scale Children's Since Last Visit Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C111339,CSS08TN,Columbia-Suicide Severity Rating Scale Children's Since Last Visit Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C117989,CSS11TC,Columbia-Suicide Severity Rating Scale Lifetime/Recent Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C117988,CSS11TN,Columbia-Suicide Severity Rating Scale Lifetime/Recent Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C113848,CSS10TC,Columbia-Suicide Severity Rating Scale Pediatric/Cognitively Impaired Lifetime/Recent Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C113847,CSS10TN,Columbia-Suicide Severity Rating Scale Pediatric/Cognitively Impaired Lifetime/Recent Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C111342,CSS09TC,Columbia-Suicide Severity Rating Scale Screening Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C111341,CSS09TN,Columbia-Suicide Severity Rating Scale Screening Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C103461,CSS02TC,Columbia-Suicide Severity Rating Scale Since Last Visit Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C103460,CSS02TN,Columbia-Suicide Severity Rating Scale Since Last Visit Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C179945,CES0101OR,Combat Exposure Scale Questionnaire ORRES for CES0101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179946,CES0102OR,Combat Exposure Scale Questionnaire ORRES for CES0102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179947,CES0103OR,Combat Exposure Scale Questionnaire ORRES for CES0103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179948,CES0104OR,Combat Exposure Scale Questionnaire ORRES for CES0104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179949,CES0105T07OR,Combat Exposure Scale Questionnaire ORRES for CES0105 Through CES0107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179950,CES0101STR,Combat Exposure Scale Questionnaire STRESC for CES0101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179951,CES0102STR,Combat Exposure Scale Questionnaire STRESC for CES0102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179952,CES0103STR,Combat Exposure Scale Questionnaire STRESC for CES0103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179953,CES0104STR,Combat Exposure Scale Questionnaire STRESC for CES0104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179954,CES0105T07STR,Combat Exposure Scale Questionnaire STRESC for CES0105 Through CES0107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C132519,CES01TC,Combat Exposure Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C132518,CES01TN,Combat Exposure Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C199501,CBS01TC,Comfort Behavior Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C199500,CBS01TN,Comfort Behavior Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C187681,CMSPSTAT,Commercial Sponsor Status Response,No,RESULT_VALUE_SET,HIGH,
C66727,NCOMPLT,Completion/Reason for Non-Completion,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C90018,CSTATE,Consciousness State,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C102575,CCINVTYP,Contact Case Investigation Contact Type,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C127257,CONROL,Contact Role for Clinical Study,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C66785,TCNTRL,Control Type Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C150766,COWAT1TC,Controlled Oral Word Association Test Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C150765,COWAT1TN,Controlled Oral Word Association Test Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C122007,CPFATSCD,COPD Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C122006,CPFATS,COPD Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C101843,CADPRSN,Coronary Artery Disease Presentation,No,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C101849,CADRISK,Coronary Artery Disease Risk,No,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C101844,CADSYMP,Coronary Artery Disease Symptoms,No,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C119076,CADG01TC,Coronary Artery Dissection NHLBI Grade Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119075,CADG01TN,Coronary Artery Dissection NHLBI Grade Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119018,CADGRS,Coronary Artery Dissection NHLBI Grade Responses,No,RESULT_VALUE_SET,HIGH,
C101860,CARTDOM,Coronary Artery Dominance,No,RESULT_VALUE_SET,HIGH,
C119074,TIMG01TC,Coronary Thrombus TIMI Grade Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119073,TIMG01TN,Coronary Thrombus TIMI Grade Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119017,CTTIMIRS,Coronary Thrombus TIMI Grade Responses,No,RESULT_VALUE_SET,HIGH,
C101850,CVSLDEXT,Coronary Vessel Disease Extent,No,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C156673,COVI01TC,Covi Anxiety Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C156672,COVI01TN,Covi Anxiety Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C171443,C19FATCD,COVID-19 Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C171442,C19FAT,COVID-19 Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C117987,CHSF1TC,Craig Handicap Assessment and Reporting Technique - Short Form Interview Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C117986,CHSF1TN,Craig Handicap Assessment and Reporting Technique - Short Form Interview Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119068,CHSF2TC,Craig Handicap Assessment and Reporting Technique - Short Form Paper Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119067,CHSF2TN,Craig Handicap Assessment and Reporting Technique - Short Form Paper Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C176049,CDAI01TC,Crohn's Disease Activity Index Version 1 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C176048,CDAI01TN,Crohn's Disease Activity Index Version 1 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C174223,CRFATSCD,Crohn's Disease Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C174224,CRFATS,Crohn's Disease Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C127264,CLTMDTYP,Culture Medium Type,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C100158,COMM1TC,Current Opioid Misuse Measure Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100157,COMM1TN,Current Opioid Misuse Measure Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C141673,DRRI1TC,Deployment Risk and Resilience Inventory-2 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C141672,DRRI1TN,Deployment Risk and Resilience Inventory-2 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119070,DLQI1TC,Dermatology Life Quality Index Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119069,DLQI1TN,Dermatology Life Quality Index Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C111110,DEACNDEV,Device Events Action Taken with Device,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C106480,DIPARM,Device Identifier Long Name,Yes,ASSAY_AND_PROCESS_METADATA,HIGH,Device identifier parameter names - structural metadata
C106481,DIPARMCD,Device Identifier Short Name,Yes,ASSAY_AND_PROCESS_METADATA,HIGH,Device identifier parameter codes - structural metadata
C111111,DOTESTCD,Device Properties Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C111112,DOTEST,Device Properties Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C112037,DTDECOD,Device Tracking and Disposition Event Dictionary Derived Term,Yes,MEASUREMENT_TEST_CODE,HIGH,
C129938,DURS,Device-In-Use Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C106483,DUTESTCD,Device-In-Use Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C106482,DUTEST,Device-In-Use Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C161621,DDS01TC,Diabetes Distress Scale for Adults with Type 1 Diabetes Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C161620,DDS01TN,Diabetes Distress Scale for Adults with Type 1 Diabetes Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C163395,DDS02TC,Diabetes Distress Scale for Parents of Teens with Type 1 Diabetes Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C163394,DDS02TN,Diabetes Distress Scale for Parents of Teens with Type 1 Diabetes Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C163397,DDS03TC,Diabetes Distress Scale for Partners of Adults with Type 1 Diabetes Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C163396,DDS03TN,Diabetes Distress Scale for Partners of Adults with Type 1 Diabetes Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C101857,DIABTHPY,Diabetes Therapy,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C129940,DKFATSCD,Diabetic Kidney Disease Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C129939,DKFATS,Diabetic Kidney Disease Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C183549,DIBC01TC,Diary for Irritable Bowel Syndrome Symptoms-Constipation v1.0 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C183548,DIBC01TN,Diary for Irritable Bowel Syndrome Symptoms-Constipation v1.0 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C66788,DICTNAM,Dictionary Name,Yes,REFERENCE_VOCABULARY,HIGH,
C99074,DIR,Directionality,Yes,REFERENCE_VOCABULARY,HIGH,
C105130,DAD01TC,Disability Assessment for Dementia Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C105129,DAD01TN,Disability Assessment for Dementia Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C115402,DRS01TC,Disability Rating Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C115401,DRS01TN,Disability Rating Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C101863,DISCHDX,Discharge Disposition,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C102578,DSSOUT,Disease Outcome,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C127268,DSPRTYP,Disease Presentation Type,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C112437,DS01TC,Disease Steps Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C112436,DS01TN,Disease Steps Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C66726,FRM,Dosage Form,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C78732,DATESTCD,Drug Accountability Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C78731,DATEST,Drug Accountability Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C102577,DRSTAT,Drug Resistance Status,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C139018,DMFATSCD,Duchenne Muscular Dystrophy Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C139019,DMFATS,Duchenne Muscular Dystrophy Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C179943,ECOG101OR,Eastern Cooperative Oncology Group Performance Status Clinical Classification ORRES for ECOG101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C179944,ECOG101STR,Eastern Cooperative Oncology Group Performance Status Clinical Classification STRESC for ECOG101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C101815,ECOG1TC,Eastern Cooperative Oncology Group Performance Status Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101816,ECOG1TN,Eastern Cooperative Oncology Group Performance Status Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C132316,EBFATSCD,Ebola Virus Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C132315,EBFATS,Ebola Virus Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C219709,EGANMET,ECG Analysis Method,Yes,MEASUREMENT_TEST_CODE,HIGH,
C90013,EGLEAD,ECG Lead,Yes,MEASUREMENT_TEST_CODE,HIGH,
C172333,EGRDMETH,ECG Read Method Response,Yes,MEASUREMENT_TEST_CODE,HIGH,
C71150,EGSTRESC,ECG Result,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C184331,TWOFFMTH,ECG T Wave Offset Method Response,Yes,MEASUREMENT_TEST_CODE,HIGH,
C71153,EGTESTCD,ECG Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C71151,EGMETHOD,ECG Test Method,Yes,MEASUREMENT_TEST_CODE,HIGH,
C71152,EGTEST,ECG Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C132521,EPDS01TC,Edinburgh Postnatal Depression Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C132520,EPDS01TN,Edinburgh Postnatal Depression Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C161627,ETRP01TC,Emory Treatment Resistance Interview for PTSD Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C161626,ETRP01TN,Emory Treatment Resistance Interview for PTSD Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C150768,EMO1TC,Emotion Recognition Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C150767,EMO1TN,Emotion Recognition Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C111108,EMPSTAT,Employment Status,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C127262,SETTING,Environmental Setting,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C204421,ESPARMCD,Environmental Storage Conditions Parameter Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C204422,ESPARM,Environmental Storage Conditions Parameter Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C99079,EPOCH,Epoch,Yes,TRIAL_DESIGN,HIGH,
C103463,ESS01TC,Epworth Sleepiness Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C103462,ESS01TN,Epworth Sleepiness Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C66790,ETHNIC,Ethnic Group,No,SUBJECT_CHARACTERISTIC,HIGH,
C128690,ETHNICC,Ethnicity As Collected,Yes,SUBJECT_CHARACTERISTIC,HIGH,
C170525,EOR06TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Colorectal Cancer Version 2.1 29 Items Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C170524,EOR06TN,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Colorectal Cancer Version 2.1 29 Items Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C161619,EOR01TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Core 30 Version 3.0 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C161618,EOR01TN,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Core 30 Version 3.0 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C172400,EOR18TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Lung Cancer 13 Items Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C172399,EOR18TN,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Lung Cancer 13 Items Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C161617,EOR02TC,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Palliative Care Version 1.0 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C161616,EOR02TN,European Organisation for the Research and Treatment of Cancer Quality of Life Questionnaire - Palliative Care Version 1.0 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219713,EOR30TC,European Organization for the Research and Treatment of Cancer Quality of Life - Anal Cancer 27 Items Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219712,EOR30TN,European Organization for the Research and Treatment of Cancer Quality of Life - Anal Cancer 27 Items Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219717,EOR03TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Bone Metastases 22 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219716,EOR03TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Bone Metastases 22 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219719,EOR35TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Breast Cancer 42 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219718,EOR35TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Breast Cancer 42 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219715,EOR24TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Cholangiocarcinoma and Gallbladder Cancer 21 Items Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219714,EOR24TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Cholangiocarcinoma and Gallbladder Cancer 21 Items Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219721,EOR29TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Chronic Lymphocytic Leukaemia 17 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219720,EOR29TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Chronic Lymphocytic Leukaemia 17 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219727,EOR12TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Colorectal Liver Metastases 21 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219726,EOR12TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Colorectal Liver Metastases 21 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219735,EOR21TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Esophago-Gastric Cancer Phase IV Module Version 25 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219734,EOR21TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Esophago-Gastric Cancer Phase IV Module Version 25 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219723,EOR36TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Head and Neck Cancer Phase IV Module Version 43 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219722,EOR36TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Head and Neck Cancer Phase IV Module Version 43 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219725,EOR17TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Information 25 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219724,EOR17TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Information 25 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219729,EOR19TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Multiple Myeloma 20 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219728,EOR19TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Multiple Myeloma 20 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219731,EOR28TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Non-Muscle-Invasive Bladder Cancer 24 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219730,EOR28TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Non-Muscle-Invasive Bladder Cancer 24 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C219733,EOR20TC,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Oesophageal Cancer 18 Items Test Code,No,INSTRUMENT_TC_TN,HIGH,
C219732,EOR20TN,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Oesophageal Cancer 18 Items Test Name,No,INSTRUMENT_TC_TN,HIGH,
C101817,EQ5D02TC,European Quality of Life Five Dimension Five Level Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101818,EQ5D02TN,European Quality of Life Five Dimension Five Level Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C100136,EQ5D01TC,European Quality of Life Five Dimension Three Level Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100135,EQ5D01TN,European Quality of Life Five Dimension Three Level Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C78735,EVAL,Evaluator,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C123653,EXACT1TC,Exacerbations of Chronic Pulmonary Disease Tool Patient-Reported Outcome Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C123652,EXACT1TN,Exacerbations of Chronic Pulmonary Disease Tool Patient-Reported Outcome Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C125745,ED1TC,Expanded Disability Rating Scale - Postacute Interview Caregiver Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C125744,ED1TN,Expanded Disability Rating Scale - Postacute Interview Caregiver Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C125747,ED2TC,Expanded Disability Rating Scale - Postacute Interview Survivor Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C125746,ED2TN,Expanded Disability Rating Scale - Postacute Interview Survivor Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C115404,GOSE1TC,Extended Glasgow Outcome Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C115403,GOSE1TN,Extended Glasgow Outcome Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C117991,ESRSA1TC,Extrapyramidal Symptom Rating Scale-Abbreviated Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
